district,state,bio_age_5_17_total,bio_age_17_plus_total,bio_total,bio_age5_ratio,bio_age17_ratio,bio_dependency_ratio,bio_7day_avg,bio_7day_std,bio_daily_change,bio_daily_pct_change,bio_state_total_avg,bio_district_total_avg,bio_rank_in_state,avg_quarter,pincode_count,demo_age_5_17_total,demo_age_17_plus_total,demo_total,demo_age5_ratio,demo_age17_ratio,demo_dependency_ratio,demo_7day_avg,demo_7day_std,demo_daily_change,demo_daily_pct_change,demo_rank_in_state,enrol_age_0_5_total,enrol_age_5_17_total,enrol_age_18_plus_total,enrol_total,enrol_minor_ratio,enrol_adult_ratio,enrol_7day_avg,enrol_7day_std,enrol_daily_change,enrol_daily_pct_change,enrol_rank_in_state,enrol_total_national_rank,enrol_total_state_rank,enrol_total_percentile,bio_total_national_rank,bio_total_state_rank,bio_total_percentile,demo_total_national_rank,demo_total_state_rank,demo_total_percentile,enrol_minor_ratio_national_rank,enrol_minor_ratio_state_rank,enrol_minor_ratio_percentile,enrol_adult_ratio_national_rank,enrol_adult_ratio_state_rank,enrol_adult_ratio_percentile,bio_dependency_ratio_national_rank,bio_dependency_ratio_state_rank,bio_dependency_ratio_percentile,enrol_daily_pct_change_national_rank,enrol_daily_pct_change_state_rank,enrol_daily_pct_change_percentile,bio_7day_std_national_rank,bio_7day_std_state_rank,bio_7day_std_percentile,enrol_7day_std_national_rank,enrol_7day_std_state_rank,enrol_7day_std_percentile,performance_tier,bio_enrol_ratio
Hyderabad,Andhra Pradesh,9920.0,39482.0,49402.0,0.2086,0.7847,0.2699,232.1532,28.631,17.0149,8.2238,3714633.0,105744.0,14.0,2.2637,55,10619.0,67258.0,77877.0,0.138,0.8611,0.1611,1228.4153,180.7075,126.8246,13.1043,2.0,6877.0,2485.0,325.0,9687.0,0.9395,0.0566,400.1667,46.374,70.0909,31.8508,1.0,17,1,92.5,141,4,36.7,15,1,93.4,128,2,42.3,93,3,58.1,220,4,0.9,70,1,68.6,218,4,1.8,101,1,54.5,Top 10%,5.0993
Prakasam,Andhra Pradesh,85031.0,36592.0,121623.0,0.6669,0.3276,2.4717,294.2762,102.5439,-1.2835,13.5339,3714633.0,212299.0,9.0,2.2506,99,1188.0,7219.0,8407.0,0.144,0.8548,0.1691,884.863,51.3657,37.6667,3.6551,9.0,91.0,108.0,38.0,237.0,0.8361,0.1597,237.0,0.0,0.0,0.0,8.0,203,3,8.6,24,2,89.6,137,3,38.5,210,4,5.4,12,1,95.0,12,1,95.0,140,3,20.8,130,3,41.6,149,3,16.7,Bottom 25%,511.021
Sri Potti Sriramulu Nellore,Andhra Pradesh,65437.0,31432.0,96869.0,0.6393,0.3517,2.1858,229.7168,150.5349,4.9525,116.9365,3714633.0,168612.0,12.0,2.235,84,726.0,4065.0,4791.0,0.1561,0.8418,0.1854,580.75,100.6983,72.375,20.3172,12.0,1124.0,669.0,274.0,2067.0,0.8453,0.146,147.1786,3.182,0.9286,1.3381,4.0,100,2,55.2,52,3,76.9,165,4,25.8,209,3,5.9,13,2,94.6,25,3,89.1,138,2,38.0,90,2,59.7,146,2,34.4,Above average,46.8419
Visakhapatnam,Andhra Pradesh,114594.0,58139.0,172733.0,0.6277,0.368,2.2059,518.444,150.9341,-29.62,0.6944,3714633.0,311303.0,2.0,2.2457,88,4963.0,29954.0,34917.0,0.1408,0.8577,0.1651,709.5162,63.1765,8.7083,1.4965,4.0,186.0,28.0,12.0,226.0,0.9427,0.0529,226.0,0.0,0.0,0.0,5.0,204,4,8.1,10,1,95.9,47,2,79.2,123,1,44.8,101,4,54.8,24,2,89.6,140,3,20.8,87,1,61.1,149,3,16.7,Bottom 25%,760.9383
Barpeta,Assam,26224.0,8706.0,34930.0,0.6918,0.3023,3.1525,536.9429,164.3091,-70.4286,-4.3502,982722.0,95421.0,2.0,2.2468,21,678.0,5327.0,6005.0,0.1064,0.8927,0.1196,1075.6667,187.5248,186.0,18.6194,4.0,4237.0,1408.0,321.0,5966.0,0.9208,0.0751,305.4333,130.5319,184.6,132.7257,3.0,47,3,79.2,175,2,21.3,158,5,29.0,161,3,27.6,61,9,72.9,4,2,98.6,18,2,92.3,79,2,64.7,46,3,79.6,Top 25%,5.8539
Bongaigaon,Assam,9886.0,4381.0,14267.0,0.6725,0.3192,2.7908,365.8373,144.4462,-29.8043,17.9744,982722.0,36608.0,7.0,2.2609,12,984.0,9767.0,10751.0,0.094,0.9049,0.1041,1183.9444,128.9499,5.8889,3.4036,10.0,600.0,193.0,106.0,899.0,0.8177,0.1714,138.1111,23.128,12.8333,18.3105,26.0,157,11,29.4,207,7,6.8,116,1,48.0,214,11,3.6,8,1,96.8,9,3,96.4,106,11,52.5,94,4,57.9,129,11,42.1,Below average,15.8522
Dhubri,Assam,17798.0,6814.0,24612.0,0.6591,0.3347,2.5429,394.9543,173.939,-30.9231,11.0283,982722.0,59475.0,4.0,2.2564,20,879.0,7026.0,7905.0,0.1088,0.8904,0.1225,1133.0556,227.8295,280.0,34.1174,2.0,2095.0,1158.0,131.0,3384.0,0.948,0.0485,288.1852,185.3839,134.0,174.1622,6.0,71,7,68.3,195,4,12.2,139,2,37.6,111,1,50.2,111,11,50.2,11,4,95.5,9,1,96.4,69,1,69.2,24,1,89.6,Above average,7.2709
Goalpara,Assam,6508.0,3468.0,9976.0,0.6154,0.3761,2.0492,199.0116,98.2102,28.413,36.8059,982722.0,27624.0,14.0,2.2391,12,917.0,5700.0,6617.0,0.1371,0.8619,0.1589,1115.2,268.8321,262.0,25.9458,9.0,3135.0,1180.0,608.0,4923.0,0.822,0.1714,239.4804,73.3667,83.0,72.6187,9.0,57,4,74.7,211,10,5.0,153,4,31.2,213,10,4.1,9,2,96.4,30,9,86.9,36,6,84.2,132,9,40.7,76,6,66.1,Above average,2.026
Hailakandi,Assam,7085.0,2577.0,9662.0,0.6602,0.3282,2.4704,122.349,66.5666,58.5882,64.9404,982722.0,21123.0,20.0,2.2745,14,76.0,703.0,779.0,0.0974,0.9013,0.108,547.0,328.0975,464.0,147.3016,21.0,925.0,430.0,124.0,1479.0,0.8663,0.1259,188.3571,32.4259,45.8571,23.7602,19.0,127,10,43.0,212,11,4.5,216,11,2.7,202,6,9.0,19,6,91.9,14,5,94.1,88,10,60.6,183,11,17.6,119,9,46.6,Below average,6.5284
Hojai,Assam,5970.0,5111.0,11081.0,0.4865,0.5075,1.0763,327.7248,115.0498,1.2973,14.7614,982722.0,29002.0,12.0,2.2703,10,406.0,3022.0,3428.0,0.1184,0.881,0.1343,1714.0,0.0,0.0,0.0,18.0,2790.0,679.0,134.0,3603.0,0.9248,0.071,291.9583,163.8276,217.5,100.1077,16.0,69,6,69.2,210,9,5.4,176,7,20.8,157,2,29.4,65,10,71.0,86,10,61.5,27,4,88.2,116,6,48.0,30,2,86.9,Above average,3.0746
Kamrup,Assam,15065.0,5094.0,20159.0,0.6545,0.3329,3.1858,195.9506,116.2606,-4.2281,41.2124,982722.0,43252.0,5.0,2.2632,33,332.0,2750.0,3082.0,0.1077,0.8917,0.1206,1541.0,0.0,0.0,0.0,5.0,4500.0,1771.0,721.0,6992.0,0.8526,0.1383,160.9028,40.3398,49.7222,42.1623,4.0,37,2,83.7,199,5,10.4,181,8,18.6,208,9,6.3,14,3,94.1,3,1,99.1,56,7,75.1,115,5,48.4,109,8,51.1,Top 25%,2.8827
Kokrajhar,Assam,9273.0,4046.0,13319.0,0.6423,0.3494,2.4265,284.4517,113.2294,-33.0,4.7698,982722.0,28859.0,13.0,2.2542,15,187.0,1488.0,1675.0,0.0968,0.9009,0.109,549.2778,34.2867,8.3333,-1.2186,19.0,989.0,763.0,193.0,1945.0,0.8968,0.0979,251.2738,68.897,37.4286,26.9077,21.0,106,9,52.5,208,8,6.3,201,9,9.5,184,4,17.2,39,8,82.8,17,6,92.8,81,9,63.8,117,7,47.5,82,7,63.3,Above average,6.8443
Marigaon,Assam,9273.0,5039.0,14312.0,0.6117,0.381,2.162,318.996,152.8149,0.58,15.7248,982722.0,33936.0,9.0,2.24,13,105.0,1023.0,1128.0,0.093,0.9061,0.1025,1014.6667,98.1495,170.0,17.7453,6.0,2819.0,1572.0,366.0,4757.0,0.887,0.1067,193.1127,85.657,113.0588,89.9994,8.0,59,5,73.8,206,6,7.2,210,10,5.4,191,5,14.0,32,7,86.0,27,8,88.2,31,5,86.4,86,3,61.5,67,5,70.1,Above average,3.008
Nagaon,Assam,17286.0,24993.0,42279.0,0.3896,0.6018,0.7874,312.5523,104.7843,35.1692,19.5849,982722.0,117879.0,1.0,2.2615,34,438.0,3856.0,4294.0,0.0922,0.9068,0.1018,1347.2222,332.4083,226.0,8.8302,1.0,2081.0,1038.0,233.0,3352.0,0.8628,0.1332,319.0833,108.6874,139.5,115.0412,5.0,72,8,67.9,162,1,27.1,171,6,23.1,206,8,7.2,16,4,93.2,147,11,33.9,23,3,90.0,125,8,43.9,54,4,76.0,Above average,12.6093
South Salmara Mancachar,Assam,21095.0,10987.0,32082.0,0.6175,0.3713,2.2286,157.21,88.9937,15.6281,44.6175,982722.0,70993.0,3.0,2.2563,53,454.0,6558.0,7012.0,0.074,0.9248,0.0802,1096.5,468.0769,368.6,46.2897,3.0,6037.0,2504.0,1020.0,9561.0,0.8638,0.1286,170.71,27.9497,34.52,33.1767,1.0,19,1,91.9,182,3,18.1,149,3,33.0,204,7,8.1,18,5,92.3,23,7,90.0,68,8,69.7,154,10,30.8,123,10,44.8,Top 10%,3.3552
Bhagalpur,Bihar,37027.0,35623.0,72650.0,0.4889,0.5059,1.0282,701.4444,169.9851,-55.439,-0.9531,4897587.0,148314.0,14.0,2.252,31,930.0,4372.0,5302.0,0.1753,0.8243,0.2126,2341.8333,305.9956,265.0,12.4941,12.0,3769.0,4548.0,276.0,8593.0,0.9644,0.0334,464.0784,73.3485,40.4118,48.3458,8.0,26,2,88.7,102,4,54.3,162,3,27.1,66,3,70.6,155,2,30.3,93,1,58.4,51,2,77.4,74,3,67.0,77,2,65.6,Top 25%,8.4536
Darbhanga,Bihar,51863.0,53458.0,105321.0,0.4886,0.5076,0.9959,718.2493,147.2545,-31.5488,1.9095,4897587.0,210380.0,5.0,2.25,42,237.0,2356.0,2593.0,0.0914,0.9082,0.1006,2593.0,0.0,0.0,0.0,13.0,255.0,183.0,10.0,448.0,0.9755,0.0223,448.0,0.0,0.0,0.0,13.0,188,4,15.4,37,2,83.7,190,4,14.5,30,1,86.9,195,4,12.2,102,3,54.3,140,3,20.8,92,4,58.8,149,4,16.7,Bottom 25%,234.5679
Katihar,Bihar,52445.0,53952.0,106397.0,0.4851,0.5133,0.9833,1453.3942,333.8754,-87.4762,-0.7163,4897587.0,217280.0,4.0,2.25,21,1274.0,8724.0,9998.0,0.1274,0.8724,0.146,4367.75,972.9762,757.5,21.7423,7.0,758.0,678.0,44.0,1480.0,0.9648,0.0324,381.75,16.617,-23.5,-4.7475,12.0,126,3,43.4,36,1,84.2,123,2,44.8,64,2,71.5,158,3,29.0,104,4,53.4,217,4,2.3,21,1,91.0,139,3,37.6,Below average,71.8413
Sitamarhi,Bihar,46889.0,44708.0,91597.0,0.4983,0.4992,1.0185,1037.7459,171.6805,-49.3061,-3.0286,4897587.0,182000.0,10.0,2.2551,25,768.0,9424.0,10192.0,0.0753,0.9245,0.0815,4943.9167,234.4134,182.5,3.8575,9.0,12104.0,11657.0,2092.0,25853.0,0.9135,0.0843,436.712,180.3703,136.3171,86.7881,2.0,1,1,100.0,67,3,70.1,121,1,45.7,167,4,24.9,49,1,78.3,96,2,57.0,34,1,85.1,72,2,67.9,25,1,89.1,Top 10%,3.5429
Chandigarh,Chandigarh,38032.0,14232.0,52264.0,0.5916,0.4009,2.3796,391.0018,178.8808,314.1807,125.4034,74482.0,74476.0,1.0,2.253,21,9189.0,37056.0,46245.0,0.1973,0.801,0.2542,912.1031,150.586,12.7843,3.061,1.0,86.0,21.0,10.0,117.0,0.9068,0.0847,117.0,0.0,0.0,0.0,1.0,213,1,4.1,134,1,39.8,34,1,85.1,177,1,20.4,48,1,78.7,19,1,91.9,140,1,20.8,66,1,70.6,149,1,16.7,Bottom 25%,442.9153
Baloda Bazar,Chhattisgarh,16093.0,55312.0,71405.0,0.2303,0.768,0.3088,836.764,399.1099,151.0882,44.1689,2648734.0,140747.0,7.0,2.25,17,2478.0,30370.0,32848.0,0.0809,0.9186,0.089,2134.7436,893.6904,180.4615,25.4511,5.0,492.0,35.0,17.0,544.0,0.967,0.0312,544.0,0.0,0.0,0.0,7.0,178,6,19.9,106,6,52.5,52,3,76.9,59,5,73.8,163,3,26.7,215,2,3.2,140,2,20.8,15,1,93.7,149,2,16.7,Bottom 25%,131.0183
Balrampur-Ramanujganj,Chhattisgarh,5675.0,18903.0,24578.0,0.2398,0.7588,0.3289,643.2125,335.8977,174.5357,62.1793,2648734.0,52243.0,22.0,2.25,7,1358.0,26540.0,27898.0,0.052,0.9477,0.0552,2766.0833,2639.4572,2916.6667,397.9572,16.0,1344.0,579.0,65.0,1988.0,0.9598,0.038,497.0,0.0,0.0,0.0,5.0,103,1,53.8,196,7,11.8,57,4,74.7,79,7,64.7,142,1,36.2,214,1,3.6,140,2,20.8,20,2,91.4,149,2,16.7,Above average,12.357
Bilaspur,Chhattisgarh,19231.0,73780.0,93011.0,0.2212,0.7761,0.2987,865.7925,310.9732,157.0674,33.6396,2648734.0,195037.0,1.0,2.2584,23,4831.0,49637.0,54468.0,0.0913,0.9079,0.1011,1976.0674,753.4617,241.625,21.6167,1.0,1156.0,309.0,11.0,1476.0,0.9919,0.0074,1476.0,0.0,0.0,0.0,1.0,128,3,41.9,62,2,72.2,25,2,88.9,2,1,98.9,217,6,1.6,217,4,2.0,140,2,20.8,25,4,88.9,149,2,16.7,Below average,62.9729
Bilaspur,Chhattisgarh,19231.0,73780.0,93011.0,0.2212,0.7761,0.2987,865.7925,310.9732,157.0674,33.6396,2648734.0,195037.0,1.0,2.2584,23,77.0,516.0,593.0,0.1295,0.8652,0.1488,210.1667,16.2654,-16.3333,-7.8958,10.0,1156.0,309.0,11.0,1476.0,0.9919,0.0074,1476.0,0.0,0.0,0.0,1.0,128,3,41.9,62,2,72.2,218,7,1.6,2,1,98.9,217,6,1.6,217,4,2.0,140,2,20.8,25,4,88.9,149,2,16.7,Below average,62.9729
Durg,Chhattisgarh,17295.0,60722.0,78017.0,0.2247,0.7714,0.3013,734.1809,160.9291,69.5053,12.5571,2648734.0,179851.0,4.0,2.2526,25,4177.0,22676.0,26853.0,0.1621,0.8368,0.1961,1646.9429,371.5758,203.4286,19.9615,12.0,721.0,132.0,26.0,879.0,0.9686,0.0291,411.75,39.2444,55.5,14.4531,10.0,158,5,29.0,89,4,60.2,58,5,74.2,56,4,75.1,167,4,24.9,216,3,2.7,116,1,48.0,81,7,63.8,111,1,50.2,Below average,88.6557
Raigarh,Chhattisgarh,12375.0,63177.0,75552.0,0.1719,0.8258,0.2138,939.638,319.2501,194.3438,32.3488,2648734.0,174626.0,5.0,2.25,16,757.0,6262.0,7019.0,0.1091,0.8901,0.1228,1388.9667,231.5889,95.8,30.5433,9.0,1318.0,181.0,23.0,1522.0,0.9826,0.016,761.0,0.0,0.0,0.0,6.0,123,2,44.8,93,5,58.4,148,6,33.5,16,3,93.2,206,5,7.2,221,7,0.5,140,2,20.8,23,3,90.0,149,2,16.7,Below average,49.6074
Raipur,Chhattisgarh,19700.0,75137.0,94837.0,0.2196,0.7762,0.2877,647.6999,190.8739,139.3675,28.7914,2648734.0,192374.0,2.0,2.265,31,6337.0,54062.0,60399.0,0.1077,0.8912,0.1217,1159.1406,182.2645,17.5098,6.0478,4.0,299.0,12.0,11.0,322.0,0.9628,0.0341,322.0,0.0,0.0,0.0,2.0,199,7,10.4,55,1,75.6,21,1,91.0,73,6,67.4,151,2,32.1,219,6,1.4,140,2,20.8,58,6,74.2,149,2,16.7,Bottom 25%,293.613
Dadra And Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,6583.0,10763.0,17346.0,0.4071,0.5833,0.8149,401.936,320.229,-47.3721,100.4886,39268.0,35732.0,1.0,2.2326,7,156.0,966.0,1122.0,0.1388,0.8594,0.1612,594.75,52.0205,-40.5,-6.3084,1.0,548.0,141.0,27.0,716.0,0.9569,0.04,303.5,77.0746,109.0,43.7751,1.0,165,1,25.8,203,1,8.6,211,1,5.0,87,1,61.1,134,1,39.8,139,1,37.6,54,1,76.0,22,1,90.5,73,1,67.4,Below average,24.1925
Central Delhi,Delhi,13808.0,18165.0,31973.0,0.4036,0.5927,0.7028,987.4,305.63,46.5312,15.2343,1304362.0,54060.0,8.0,2.25,8,1765.0,16611.0,18376.0,0.0964,0.903,0.1071,2477.3542,371.7385,-131.375,-3.5106,8.0,1195.0,523.0,94.0,1812.0,0.9327,0.0618,218.5,19.799,16.0,5.8048,8.0,114,7,48.9,183,8,17.6,79,8,64.7,139,6,37.6,84,6,62.4,158,6,29.0,136,10,38.9,27,7,88.2,135,9,39.4,Below average,17.6354
East Delhi,Delhi,31356.0,42636.0,73992.0,0.3967,0.6024,0.7351,2311.6062,896.175,123.625,21.0135,1304362.0,122805.0,6.0,2.25,8,18673.0,106760.0,125433.0,0.1427,0.8569,0.1693,4054.8644,891.5247,2.8788,3.0435,4.0,3624.0,1366.0,163.0,5153.0,0.9638,0.0343,620.7083,97.0928,67.0,16.7393,5.0,54,3,76.0,96,6,57.0,4,2,98.6,70,2,68.8,150,9,32.6,152,4,31.7,110,6,50.7,2,2,99.5,59,4,73.8,Top 25%,14.3562
New Delhi,Delhi,1258.0,1153.0,2411.0,0.5124,0.4841,1.105,332.5396,64.0198,-9.5,0.9292,1304362.0,4563.0,10.0,2.25,2,44.0,321.0,365.0,0.1202,0.877,0.1366,462.3333,84.2931,-146.0,-28.5714,10.0,793.0,454.0,207.0,1454.0,0.8299,0.163,144.7222,23.8059,33.6667,28.0106,10.0,132,9,40.7,221,10,0.5,221,10,0.5,212,10,4.5,10,1,95.9,79,1,64.7,79,3,64.7,185,10,16.7,128,8,42.5,Below average,1.657
North Delhi,Delhi,14190.0,20409.0,34599.0,0.4057,0.5937,0.6992,2179.4625,581.6178,62.5625,7.633,1304362.0,60830.0,7.0,2.25,4,6267.0,48064.0,54331.0,0.109,0.8906,0.123,3487.6487,651.1908,-92.9412,-2.6345,7.0,895.0,553.0,51.0,1499.0,0.9628,0.0344,336.875,53.5633,75.75,25.1822,7.0,125,8,43.9,177,7,20.4,27,7,88.2,74,3,67.0,148,8,33.5,162,7,27.1,86,5,61.5,9,6,96.4,95,5,57.5,Below average,23.066
North East Delhi,Delhi,46124.0,68323.0,114447.0,0.3323,0.6659,0.7126,3951.3085,2238.0323,56.931,48.8735,1304362.0,189716.0,3.0,2.2414,5,18106.0,67977.0,86083.0,0.2021,0.7977,0.2549,6276.8614,2213.5963,350.5385,21.1443,6.0,3866.0,2152.0,41.0,6059.0,0.9927,0.0068,1803.5,305.7058,432.3333,27.4149,3.0,46,2,79.6,30,3,86.9,11,5,95.5,1,1,100.0,221,10,0.5,157,5,29.4,80,4,64.3,1,1,100.0,12,2,95.0,Top 25%,18.8856
North West Delhi,Delhi,73602.0,113450.0,187052.0,0.3931,0.6056,0.6822,2921.713,739.208,-70.4493,1.0982,1304362.0,325293.0,1.0,2.2464,18,23749.0,137086.0,160835.0,0.1474,0.8521,0.1775,3424.1719,596.6756,-153.5882,-2.1066,1.0,2717.0,1051.0,151.0,3919.0,0.9583,0.0393,423.1574,41.4522,20.8889,5.8747,2.0,66,4,70.6,8,1,96.8,1,1,100.0,83,4,62.9,136,7,38.9,167,8,24.9,134,9,39.8,4,4,98.6,108,6,51.6,Above average,47.7173
Shahdara,Delhi,1884.0,3342.0,5226.0,0.3487,0.6451,0.5647,318.2385,91.4013,18.75,15.3265,1304362.0,7963.0,9.0,2.25,4,3165.0,12286.0,15451.0,0.2144,0.785,0.28,1670.8444,214.221,51.4444,5.803,9.0,819.0,384.0,48.0,1251.0,0.9265,0.0695,320.6667,158.389,160.0,147.4816,9.0,140,10,37.1,219,9,1.4,93,9,58.4,154,7,30.8,66,4,70.6,184,10,17.2,15,2,93.7,151,9,32.1,31,3,86.4,Below average,4.1741
South Delhi,Delhi,57039.0,78626.0,135665.0,0.4159,0.5824,0.7544,1819.8207,743.1195,37.8608,13.0818,1304362.0,222936.0,2.0,2.2405,20,12283.0,97561.0,109844.0,0.1138,0.8856,0.1299,3302.3893,630.7238,-264.0,-5.4605,3.0,2034.0,795.0,232.0,3061.0,0.8827,0.1106,209.8155,9.4097,14.1429,10.311,4.0,80,5,64.3,19,2,91.9,6,4,97.7,194,9,12.7,28,2,87.8,151,3,32.1,128,7,42.5,3,3,99.1,143,10,35.7,Above average,44.306
South West Delhi,Delhi,37235.0,44121.0,81356.0,0.4481,0.5493,0.8514,911.8142,217.1945,-15.375,3.0741,1304362.0,141527.0,5.0,2.25,24,10275.0,68988.0,79263.0,0.129,0.8703,0.1495,2513.7399,308.962,-91.9412,-2.7634,5.0,1676.0,694.0,164.0,2534.0,0.9079,0.0861,264.3056,27.6548,29.8889,10.0213,6.0,89,6,60.2,81,5,63.8,14,6,94.1,176,8,20.8,45,3,80.1,133,2,40.3,129,8,42.1,48,8,78.7,126,7,43.4,Above average,32.0931
West Delhi,Delhi,40314.0,62623.0,102937.0,0.3839,0.615,0.6279,2751.9737,710.2204,-39.5,4.9953,1304362.0,173242.0,4.0,2.25,10,15513.0,105184.0,120697.0,0.121,0.8786,0.1402,4877.2537,866.6592,-186.7143,0.3188,2.0,8041.0,2884.0,789.0,11714.0,0.9353,0.063,600.5444,368.4882,275.0,227.2978,1.0,12,1,95.0,42,4,81.4,5,3,98.2,138,5,38.0,83,5,62.9,174,9,21.7,6,1,97.7,5,5,98.2,7,1,97.3,Top 10%,8.7868
Ahmedabad,Gujarat,93559.0,147160.0,240719.0,0.3831,0.6128,0.6934,648.486,212.2287,46.25,50.132,3196514.0,421172.0,1.0,2.2412,80,7281.0,57383.0,64664.0,0.1123,0.8871,0.127,1928.2885,149.8215,-11.9412,0.5151,2.0,4629.0,2832.0,392.0,7853.0,0.927,0.0678,241.8506,38.3252,51.7241,25.8089,2.0,31,4,86.4,5,1,98.2,20,2,91.4,152,4,31.7,71,15,68.3,163,16,26.7,83,6,62.9,52,1,76.9,112,9,49.8,Top 25%,30.6492
Banaskantha,Gujarat,38396.0,39989.0,78385.0,0.4772,0.5204,0.953,636.9258,167.2753,93.3303,35.5083,3196514.0,152304.0,5.0,2.2569,27,1954.0,9993.0,11947.0,0.163,0.8365,0.1948,1962.4472,27.4918,27.0,1.4021,5.0,8280.0,8544.0,1786.0,18610.0,0.8637,0.1314,251.6618,145.2234,147.3958,102.71,1.0,2,1,99.5,88,6,60.6,109,6,51.1,205,14,7.7,17,4,92.8,110,10,50.7,26,1,88.7,76,2,66.1,39,1,82.8,Top 10%,4.2118
Bharuch,Gujarat,19886.0,21334.0,41220.0,0.4894,0.5029,0.9981,256.7194,35.7143,13.8312,8.8235,3196514.0,76378.0,19.0,2.2532,40,870.0,5916.0,6786.0,0.1288,0.8706,0.1479,1730.3833,121.9035,-36.25,-1.6973,11.0,441.0,119.0,46.0,606.0,0.9182,0.0768,209.8333,11.078,-15.6667,-7.425,22.0,176,17,20.8,163,14,26.7,150,9,32.6,163,5,26.7,60,13,73.3,100,7,55.2,219,17,1.4,216,17,2.7,142,17,36.2,Bottom 25%,67.9077
