district,state,bio_age_5_17_total,bio_age_17_plus_total,bio_total,bio_age5_ratio,bio_age17_ratio,bio_dependency_ratio,bio_7day_avg,bio_7day_std,bio_daily_change,bio_daily_pct_change,bio_state_total_avg,bio_district_total_avg,bio_rank_in_state,avg_quarter,pincode_count,demo_age_5_17_total,demo_age_17_plus_total,demo_total,demo_age5_ratio,demo_age17_ratio,demo_dependency_ratio,demo_7day_avg,demo_7day_std,demo_daily_change,demo_daily_pct_change,demo_rank_in_state,enrol_age_0_5_total,enrol_age_5_17_total,enrol_age_18_plus_total,enrol_total,enrol_minor_ratio,enrol_adult_ratio,enrol_7day_avg,enrol_7day_std,enrol_daily_change,enrol_daily_pct_change,enrol_rank_in_state,enrol_total_national_rank,enrol_total_state_rank,enrol_total_percentile,bio_total_national_rank,bio_total_state_rank,bio_total_percentile,demo_total_national_rank,demo_total_state_rank,demo_total_percentile,enrol_minor_ratio_national_rank,enrol_minor_ratio_state_rank,enrol_minor_ratio_percentile,enrol_adult_ratio_national_rank,enrol_adult_ratio_state_rank,enrol_adult_ratio_percentile,bio_dependency_ratio_national_rank,bio_dependency_ratio_state_rank,bio_dependency_ratio_percentile,enrol_daily_pct_change_national_rank,enrol_daily_pct_change_state_rank,enrol_daily_pct_change_percentile,bio_7day_std_national_rank,bio_7day_std_state_rank,bio_7day_std_percentile,enrol_7day_std_national_rank,enrol_7day_std_state_rank,enrol_7day_std_percentile,performance_tier,bio_enrol_ratio
Burhanpur,Madhya Pradesh,21424.0,25451.0,46875.0,0.4773,0.5206,0.9384,1765.0475,602.3573,407.8,32.4589,5923771.0,74141.0,39.0,2.25,5,921.0,3556.0,4477.0,0.2042,0.7948,0.2589,1061.3958,140.2407,72.75,6.9306,48.0,4119.0,2032.0,336.0,6487.0,0.9303,0.0665,396.75,139.7352,165.1667,49.2217,21.0,43,7,81.0,144,24,35.3,169,26,24.0,143,25,35.7,74,5,67.0,115,26,48.4,49,10,78.3,7,2,97.3,42,6,81.4,Top 25%,7.2249
Chhatarpur,Madhya Pradesh,58394.0,36340.0,94734.0,0.6152,0.3834,1.6409,1113.4044,167.8772,67.2125,9.7946,5923771.0,158531.0,11.0,2.25,20,3528.0,13781.0,17309.0,0.2137,0.7854,0.2783,1387.3308,321.3042,-63.5385,0.0283,12.0,2849.0,2813.0,225.0,5887.0,0.9529,0.0438,316.7396,50.8591,72.6875,24.6338,6.0,48,8,78.7,58,6,74.2,85,13,62.0,98,16,56.1,125,15,43.9,51,12,77.4,87,16,61.1,75,19,66.5,97,19,56.6,Top 25%,16.0893
Datia,Madhya Pradesh,18447.0,9745.0,28192.0,0.6498,0.3483,1.9395,683.3296,147.135,86.3333,17.8513,5923771.0,47034.0,48.0,2.25,9,1530.0,7131.0,8661.0,0.1752,0.8245,0.2126,2916.4722,409.6855,54.3333,3.6327,39.0,672.0,439.0,30.0,1141.0,0.9693,0.0284,436.25,189.8582,268.5,88.9073,42.0,145,22,34.8,190,29,14.5,134,23,39.8,52,5,76.9,171,26,23.1,36,5,84.2,33,5,85.5,93,24,58.4,23,4,90.0,Below average,24.6865
Dewas,Madhya Pradesh,34860.0,34511.0,69371.0,0.5128,0.4839,1.093,957.1289,283.6308,263.1071,32.2932,5923771.0,119901.0,26.0,2.2679,15,2232.0,13186.0,15418.0,0.1388,0.8603,0.1629,1793.637,566.2158,-116.0,-4.6408,31.0,1489.0,444.0,40.0,1973.0,0.9776,0.0208,637.6667,28.2843,40.0,7.9681,18.0,105,16,52.9,107,18,52.0,94,16,57.9,23,2,90.0,199,28,10.4,83,22,62.9,131,22,41.2,31,11,86.4,122,22,45.2,Above average,35.1424
Dhar,Madhya Pradesh,54088.0,38655.0,92743.0,0.5727,0.4242,1.4641,1191.0029,222.2649,115.1159,11.6513,5923771.0,146391.0,14.0,2.2609,18,5939.0,27727.0,33666.0,0.1625,0.8365,0.197,1506.7242,254.5467,35.7727,2.9147,7.0,1806.0,1066.0,196.0,3068.0,0.8882,0.1075,480.4167,43.7228,61.8333,13.5695,14.0,79,11,64.7,64,8,71.5,49,7,78.3,189,29,14.9,30,1,86.9,60,15,73.3,119,21,46.6,47,16,79.2,105,21,52.9,Above average,30.2193
Guna,Madhya Pradesh,57734.0,29240.0,86974.0,0.5895,0.4072,1.8133,1281.2402,311.3439,226.9286,19.3863,5923771.0,132886.0,20.0,2.2321,15,2566.0,18291.0,20857.0,0.126,0.8731,0.1449,1454.6969,326.4293,-23.7143,0.066,26.0,1270.0,543.0,43.0,1856.0,0.9589,0.0381,618.6667,0.0,0.0,0.0,20.0,110,17,50.7,75,12,66.5,72,12,67.9,82,10,63.3,141,20,36.7,45,9,80.1,140,23,20.8,24,8,89.6,149,23,16.7,Above average,46.8358
Gwalior,Madhya Pradesh,40702.0,31845.0,72547.0,0.5582,0.44,1.3636,910.9683,124.986,86.6111,10.4214,5923771.0,127120.0,21.0,2.25,18,3533.0,20888.0,24421.0,0.1442,0.8552,0.1692,2024.0736,109.5465,31.1667,2.2757,11.0,4670.0,3088.0,383.0,8141.0,0.9465,0.0507,338.2885,151.6726,163.625,112.8466,5.0,28,3,87.8,103,16,53.8,65,10,71.0,113,20,49.3,106,9,52.5,62,16,72.4,25,4,89.1,107,26,52.0,36,5,84.2,Top 25%,8.9102
Indore,Madhya Pradesh,55948.0,59484.0,115432.0,0.4856,0.5105,0.9941,888.7763,148.079,102.1034,17.2666,5923771.0,221624.0,2.0,2.2586,30,12085.0,81587.0,93672.0,0.1275,0.8716,0.1466,1357.529,109.6624,66.4923,5.4494,1.0,5100.0,2001.0,185.0,7286.0,0.9697,0.0285,630.3,98.2629,148.9,37.8346,2.0,33,4,85.5,28,2,87.8,8,1,96.8,51,4,77.4,169,25,24.0,103,25,53.8,60,12,73.3,91,23,59.3,58,10,74.2,Top 25%,15.8408
Jabalpur,Madhya Pradesh,43908.0,35338.0,79246.0,0.5509,0.4451,1.3592,686.4473,158.9554,116.34,21.7148,5923771.0,158664.0,10.0,2.25,25,3502.0,26335.0,29837.0,0.1214,0.8774,0.1398,1237.0613,164.7904,-30.24,-3.3781,4.0,486.0,110.0,25.0,621.0,0.9463,0.0495,310.5,0.0,0.0,0.0,15.0,174,25,21.7,85,13,62.0,54,8,76.0,115,21,48.4,110,11,50.7,63,17,71.9,140,23,20.8,84,21,62.4,149,23,16.7,Bottom 25%,127.4051
Jhabua,Madhya Pradesh,35415.0,19641.0,55056.0,0.6448,0.3527,1.9032,1377.4475,354.2133,286.9412,26.6267,5923771.0,88726.0,36.0,2.2647,10,180.0,1095.0,1275.0,0.1411,0.8582,0.1642,1345.0,98.9949,-140.0,-9.894,36.0,1943.0,3076.0,161.0,5180.0,0.9655,0.0331,631.0694,221.104,312.5,55.1264,10.0,53,10,76.5,132,23,40.7,206,29,7.2,63,8,71.9,156,22,29.9,38,7,83.3,40,7,82.4,17,6,92.8,19,2,91.9,Top 25%,10.6265
Katni,Madhya Pradesh,25267.0,21102.0,46369.0,0.5324,0.4652,1.2267,830.0318,141.7191,-3.1429,2.9551,5923771.0,98452.0,32.0,2.25,14,2826.0,14400.0,17226.0,0.1605,0.8391,0.1949,3117.0143,583.9785,-128.3333,-2.3815,20.0,989.0,392.0,42.0,1423.0,0.9569,0.0393,279.375,108.0106,152.75,144.1038,16.0,133,20,40.3,147,26,33.9,86,14,61.5,88,11,60.6,137,19,38.5,69,19,69.2,16,2,93.2,98,25,56.1,55,9,75.6,Below average,32.5625
Khandwa,Madhya Pradesh,30235.0,29132.0,59367.0,0.473,0.5219,1.2056,408.3327,123.6006,20.0551,26.5086,5923771.0,99381.0,31.0,2.2598,18,1092.0,2972.0,4064.0,0.301,0.6965,0.4504,604.0417,165.3674,15.8333,-3.7627,44.0,1093.0,641.0,53.0,1787.0,0.9425,0.0529,399.25,67.1751,95.0,121.7949,24.0,115,18,48.4,121,22,45.7,173,27,22.2,125,23,43.9,100,8,55.2,72,20,67.9,21,3,91.0,110,27,50.7,85,17,62.0,Below average,33.203
Khargone,Madhya Pradesh,57147.0,53484.0,110631.0,0.4526,0.5409,0.9129,839.4867,510.3512,97.7328,364.5502,5923771.0,179019.0,5.0,2.25,21,1125.0,5563.0,6688.0,0.1716,0.8264,0.2075,875.4458,178.3475,-24.5,-1.5947,32.0,3810.0,2506.0,317.0,6633.0,0.9427,0.0538,369.0222,87.1001,126.8667,49.4611,7.0,40,6,82.4,33,3,85.5,151,25,32.1,124,22,44.3,98,7,56.1,120,27,46.2,47,9,79.2,11,4,95.5,66,12,70.6,Top 25%,16.6764
Morena,Madhya Pradesh,60125.0,26991.0,87116.0,0.6929,0.3057,2.4319,1751.2906,224.2247,27.3125,1.6875,5923771.0,145559.0,15.0,2.25,12,7096.0,32368.0,39464.0,0.1768,0.8227,0.2165,2669.8771,557.6714,-121.0625,-0.9635,3.0,6291.0,4313.0,372.0,10976.0,0.9475,0.0504,563.0722,197.7974,238.3333,67.7244,1.0,14,2,94.1,74,11,67.0,41,4,81.9,112,19,49.8,107,10,52.0,16,1,93.2,37,6,83.7,45,15,80.1,22,3,90.5,Top 10%,7.9362
Narmadapuram,Madhya Pradesh,30256.0,31406.0,61662.0,0.4026,0.5905,0.7985,636.1664,538.6975,-10.3913,304.1129,5923771.0,103906.0,30.0,2.2391,16,396.0,1886.0,2282.0,0.1664,0.8299,0.2024,315.9938,67.9633,-29.625,-5.9498,47.0,179.0,90.0,12.0,281.0,0.9539,0.0426,281.0,0.0,0.0,0.0,35.0,201,29,9.3,117,20,47.5,194,28,12.7,94,13,57.9,129,17,42.1,144,29,35.3,140,23,20.8,10,3,95.9,149,23,16.7,Bottom 25%,218.6596
Narsinghpur,Madhya Pradesh,22702.0,17768.0,40470.0,0.4639,0.5303,1.0882,327.3655,212.9691,37.0857,148.2027,5923771.0,73465.0,40.0,2.2667,16,1263.0,5993.0,7256.0,0.2005,0.7973,0.261,712.7426,150.6071,-29.5,-3.3747,41.0,312.0,189.0,13.0,514.0,0.9728,0.0252,514.0,0.0,0.0,0.0,38.0,183,27,17.6,164,27,26.2,146,24,34.4,41,3,81.9,184,27,17.2,84,23,62.4,140,23,20.8,51,17,77.4,149,23,16.7,Bottom 25%,78.5825
Panna,Madhya Pradesh,37960.0,22560.0,60520.0,0.6246,0.3727,1.751,1341.1617,300.4518,69.9318,9.6812,5923771.0,98039.0,33.0,2.25,11,1816.0,8838.0,10654.0,0.1699,0.829,0.2065,941.9371,228.3085,-42.1667,-0.8202,33.0,548.0,277.0,45.0,870.0,0.928,0.0677,246.1667,61.9897,87.6667,39.1369,22.0,160,24,28.1,120,21,46.2,118,20,47.1,150,27,32.6,72,3,67.9,48,10,78.7,57,11,74.7,28,9,87.8,91,18,59.3,Below average,69.4834
Raisen,Madhya Pradesh,49007.0,24905.0,73912.0,0.6552,0.3435,2.0167,898.9426,342.2745,150.2059,31.5431,5923771.0,116648.0,28.0,2.25,17,2220.0,9627.0,11847.0,0.1879,0.8101,0.2329,565.7222,42.8282,3.7143,1.758,34.0,410.0,83.0,22.0,515.0,0.9494,0.0462,257.5,0.0,0.0,0.0,29.0,182,26,18.1,97,14,56.6,110,19,50.7,108,18,51.6,115,12,48.4,32,3,86.0,140,23,20.8,18,7,92.3,149,23,16.7,Bottom 25%,143.2403
Satna,Madhya Pradesh,59085.0,34820.0,93905.0,0.6364,0.3618,1.8558,846.9415,159.088,93.22,14.2891,5923771.0,172713.0,6.0,2.25,25,4870.0,20528.0,25398.0,0.1873,0.8113,0.2395,924.5756,105.5101,-14.1786,-0.7174,8.0,856.0,176.0,34.0,1066.0,0.9662,0.0319,485.0,67.8823,96.0,21.968,11.0,147,23,33.9,59,7,73.8,61,9,72.9,62,7,72.4,160,23,28.1,43,8,81.0,93,17,58.4,83,20,62.9,84,16,62.4,Below average,88.0084
Sehore,Madhya Pradesh,36175.0,36915.0,73090.0,0.5131,0.4851,1.0988,872.9866,157.1578,116.2778,15.9744,5923771.0,118002.0,27.0,2.25,18,2088.0,8209.0,10297.0,0.201,0.7962,0.2537,520.3848,38.1208,22.8421,3.4399,43.0,1151.0,496.0,26.0,1673.0,0.9828,0.0159,836.5,0.0,0.0,0.0,37.0,118,19,47.1,100,15,55.2,120,21,46.2,15,1,93.7,207,29,6.8,80,21,64.3,140,23,20.8,85,22,62.0,149,23,16.7,Below average,43.6619
Sheopur,Madhya Pradesh,23162.0,12635.0,35797.0,0.6499,0.3494,1.9868,1570.0267,268.8609,120.25,11.5112,5923771.0,56268.0,46.0,2.25,5,2589.0,12989.0,15578.0,0.167,0.8323,0.2014,1810.0722,314.6312,-66.0,-1.8039,37.0,1334.0,1562.0,62.0,2958.0,0.9533,0.043,412.7333,230.3565,271.4,170.0011,31.0,85,14,62.0,171,28,23.1,91,15,59.3,96,15,57.0,128,16,42.5,33,4,85.5,11,1,95.5,35,12,84.6,16,1,93.2,Above average,12.0977
Shivpuri,Madhya Pradesh,67430.0,43054.0,110484.0,0.5994,0.3983,1.6676,1163.22,401.0318,348.4638,31.3754,5923771.0,166572.0,7.0,2.2609,18,1350.0,7429.0,8779.0,0.1549,0.8443,0.1835,1882.3,124.8543,-116.6,-4.8331,17.0,1442.0,1394.0,180.0,3016.0,0.8889,0.1056,323.8571,116.5936,145.0,28.3653,13.0,82,12,63.3,34,4,85.1,133,22,40.3,187,28,15.8,35,2,84.6,50,11,77.8,78,15,65.2,14,5,94.1,49,8,78.3,Above average,36.6205
Vidisha,Madhya Pradesh,42604.0,29437.0,72041.0,0.5852,0.4135,1.497,1192.6691,286.5145,291.875,24.6512,5923771.0,124890.0,24.0,2.25,12,4522.0,16609.0,21131.0,0.2263,0.7726,0.2994,1096.6351,123.7398,54.6842,7.2677,28.0,2106.0,788.0,115.0,3009.0,0.9533,0.0445,544.8,89.0955,114.0,20.4517,19.0,84,13,62.4,105,17,52.9,71,11,68.3,95,14,57.5,123,14,44.8,57,14,74.7,98,18,56.1,30,10,86.9,65,11,71.0,Above average,23.9339
Akola,Maharashtra,21546.0,57380.0,78926.0,0.2549,0.7419,0.3519,785.472,184.9941,-17.2358,-0.3137,9226139.0,185085.0,23.0,2.2547,27,123.0,792.0,915.0,0.1343,0.8646,0.1551,1062.5,208.5965,-295.0,-24.3802,27.0,390.0,205.0,42.0,637.0,0.9326,0.0658,637.0,0.0,0.0,0.0,26.0,173,22,22.2,86,20,61.5,215,23,3.2,140,15,37.1,78,7,65.2,213,23,4.1,140,20,20.8,62,9,72.4,149,21,16.7,Bottom 25%,123.7085
Amravati,Maharashtra,41052.0,109551.0,150603.0,0.2685,0.7295,0.3773,867.092,171.8255,37.3533,7.5615,9226139.0,338283.0,9.0,2.2515,42,672.0,3712.0,4384.0,0.1261,0.8714,0.1475,630.3722,88.9472,122.1667,19.2552,23.0,803.0,225.0,24.0,1052.0,0.9735,0.0244,447.0,111.7229,158.0,42.9348,22.0,148,19,33.3,17,9,92.8,170,14,23.5,36,1,84.2,186,23,16.3,211,21,5.0,55,8,75.6,71,11,68.3,52,5,76.9,Below average,143.0228
Beed,Maharashtra,43067.0,80008.0,123075.0,0.3322,0.6658,0.5262,1019.9702,282.6456,98.9732,45.1195,9226139.0,265387.0,14.0,2.2589,27,1823.0,14574.0,16397.0,0.1101,0.8896,0.1247,2785.0091,212.6145,3.1667,0.4839,9.0,2876.0,1148.0,152.0,4176.0,0.959,0.0385,439.0104,64.161,91.125,15.5735,12.0,63,7,71.9,23,13,90.0,89,6,60.2,81,7,63.8,139,16,37.6,193,10,13.1,113,15,49.3,32,2,86.0,89,11,60.2,Above average,29.4649
Buldhana,Maharashtra,29754.0,66357.0,96111.0,0.2812,0.7157,0.4305,579.7086,215.0908,32.6209,32.1978,9226139.0,255238.0,15.0,2.2614,31,129.0,1339.0,1468.0,0.0839,0.9147,0.0918,875.6667,268.3516,-47.5,14.7133,13.0,1409.0,327.0,94.0,1830.0,0.9391,0.0574,350.2,22.3446,31.6,8.587,17.0,112,15,49.8,54,15,76.0,204,20,8.1,131,13,41.2,90,11,59.7,206,16,7.2,130,17,41.6,50,5,77.8,130,16,41.6,Below average,52.491
Chandrapur,Maharashtra,25273.0,64444.0,89717.0,0.2845,0.7109,0.4234,688.9856,123.6556,-19.5802,1.6718,9226139.0,213634.0,18.0,2.2519,33,556.0,6099.0,6655.0,0.0836,0.9126,0.092,417.7509,70.0223,-79.4444,-5.5257,19.0,697.0,128.0,31.0,856.0,0.9578,0.0384,244.2778,36.6096,60.6667,26.2281,27.0,161,20,27.6,70,17,68.8,152,13,31.7,85,8,62.0,140,17,37.1,208,18,6.3,82,11,63.3,109,17,51.1,114,14,48.9,Below average,104.6873
Chhatrapati Sambhajinagar,Maharashtra,47262.0,96495.0,143757.0,0.304,0.6926,0.4608,752.9859,478.6348,52.0608,200.8457,9226139.0,318444.0,12.0,2.2652,38,1683.0,10851.0,12534.0,0.1319,0.8676,0.1522,2062.2556,858.887,4.0,9.5799,10.0,2846.0,1703.0,77.0,4626.0,0.9627,0.0366,639.1,979.0835,1890.0,861.5056,5.0,60,5,73.3,18,10,92.3,106,8,52.5,75,5,66.5,146,19,34.4,200,13,10.0,2,1,99.5,12,1,95.0,2,1,99.5,Above average,31.0692
Dharashiv,Maharashtra,27867.0,51421.0,79288.0,0.3316,0.6648,0.5179,706.1492,179.3492,43.2547,119.8926,9226139.0,155698.0,27.0,2.2547,26,192.0,2678.0,2870.0,0.0669,0.9325,0.0716,1664.1667,353.2257,-275.0,-13.8539,20.0,275.0,105.0,10.0,390.0,0.9719,0.0256,390.0,0.0,0.0,0.0,28.0,195,23,12.2,84,19,62.4,184,16,17.2,45,2,80.1,180,22,19.0,194,11,12.7,140,20,20.8,65,10,71.0,149,21,16.7,Bottom 25%,202.7826
Dhule,Maharashtra,34222.0,60563.0,94785.0,0.3342,0.663,0.5548,809.6921,150.8642,129.3883,23.0403,9226139.0,197854.0,21.0,2.2621,27,396.0,2756.0,3152.0,0.1256,0.8738,0.1436,1273.25,299.6448,259.5,24.5506,28.0,2321.0,1637.0,356.0,4314.0,0.8896,0.107,334.9091,71.8882,100.1818,37.3396,7.0,62,6,72.4,56,16,75.1,180,15,19.0,186,22,16.3,31,1,86.4,186,6,16.3,62,10,72.4,89,13,60.2,79,8,64.7,Above average,21.9664
Jalgaon,Maharashtra,64112.0,129303.0,193415.0,0.3236,0.6732,0.504,692.9351,131.4344,89.5779,15.1237,9226139.0,417384.0,5.0,2.25,61,914.0,6444.0,7358.0,0.1223,0.8769,0.1397,1281.3056,81.1255,-43.5,-1.9909,12.0,1931.0,488.0,108.0,2527.0,0.9509,0.0462,369.9722,49.1332,77.8333,19.618,6.0,90,10,59.7,7,5,97.3,145,12,34.8,106,12,52.5,116,13,48.0,195,12,12.2,101,12,54.8,105,16,52.9,99,12,55.7,Above average,76.5091
Latur,Maharashtra,33908.0,96843.0,130751.0,0.2609,0.7377,0.3687,1302.1187,216.7753,25.7604,4.7747,9226139.0,246741.0,16.0,2.25,24,1070.0,8712.0,9782.0,0.1077,0.8919,0.1209,2216.8833,186.2843,170.0,7.9896,16.0,1185.0,407.0,66.0,1658.0,0.9513,0.0465,422.0556,146.6893,175.0,45.2165,19.0,119,17,46.6,20,11,91.4,126,11,43.4,104,11,53.4,114,12,48.9,212,22,4.5,52,7,76.9,49,4,78.3,38,4,83.3,Below average,78.8131
Mumbai,Maharashtra,100149.0,180688.0,280837.0,0.3912,0.6036,0.7151,387.7841,142.1886,11.7967,33.4217,9226139.0,631047.0,1.0,2.2493,84,6630.0,48894.0,55524.0,0.1195,0.8795,0.1368,1073.7769,295.1164,114.7907,18.7813,3.0,4995.0,3087.0,531.0,8613.0,0.8871,0.1059,215.3438,68.3419,97.8125,65.0193,2.0,25,2,89.1,1,1,100.0,24,3,89.6,190,23,14.5,34,2,85.1,156,3,29.9,38,4,83.3,97,14,56.6,83,10,62.9,Top 25%,32.6024
Nagpur,Maharashtra,48187.0,114156.0,162343.0,0.2987,0.6977,0.4425,637.1453,101.2283,-0.7569,3.0191,9226139.0,350923.0,7.0,2.251,64,2500.0,17275.0,19775.0,0.1217,0.877,0.1392,989.9871,57.0944,0.55,1.3685,11.0,1615.0,303.0,107.0,2025.0,0.9299,0.0649,254.9375,2.5633,-3.625,-1.6111,11.0,102,13,54.3,13,6,94.6,76,4,66.1,146,17,34.4,81,9,63.8,205,15,7.7,215,23,3.2,131,19,41.2,147,20,33.9,Above average,80.1298
Nanded,Maharashtra,47620.0,104348.0,151968.0,0.2939,0.7034,0.4434,856.5946,171.448,47.6347,8.2827,9226139.0,342540.0,8.0,2.2515,42,143.0,781.0,924.0,0.1546,0.8443,0.1829,824.6667,86.0252,149.0,19.2258,6.0,2572.0,755.0,169.0,3496.0,0.9262,0.0691,276.25,21.3311,30.1667,19.1606,10.0,70,9,68.8,16,8,93.2,214,22,3.6,155,18,30.3,67,6,70.1,204,14,8.1,104,14,53.4,73,12,67.4,132,17,40.7,Above average,43.4567
Nandurbar,Maharashtra,36696.0,66568.0,103264.0,0.3356,0.6629,0.5351,1024.0052,250.1316,242.4125,22.6935,9226139.0,201392.0,20.0,2.25,20,1066.0,9517.0,10583.0,0.1184,0.8802,0.1379,815.3389,112.9275,59.6667,16.9203,32.0,2519.0,1163.0,106.0,3788.0,0.9603,0.0367,417.5,174.8574,247.2857,116.9326,14.0,68,8,69.7,41,14,81.9,119,10,46.6,76,6,66.1,145,18,34.8,191,9,14.0,22,3,90.5,41,3,81.9,28,3,87.8,Above average,27.2536
Nashik,Maharashtra,83219.0,156925.0,240144.0,0.3452,0.6518,0.5464,746.9094,185.3546,70.67,12.1386,9226139.0,576606.0,3.0,2.2525,75,2247.0,15347.0,17594.0,0.125,0.8744,0.1432,1911.6,139.2707,74.5556,4.5713,5.0,2826.0,1789.0,156.0,4771.0,0.917,0.0794,681.5714,0.0,0.0,0.0,4.0,58,4,74.2,6,4,97.7,84,5,62.4,164,19,26.2,58,5,74.2,189,8,14.9,140,20,20.8,61,8,72.9,149,21,16.7,Above average,50.3236
Palghar,Maharashtra,34950.0,34185.0,69135.0,0.5234,0.4694,1.1823,418.8617,85.4525,34.7905,14.7474,9226139.0,157952.0,26.0,2.25,37,1147.0,10203.0,11350.0,0.1017,0.8978,0.1133,2374.6333,199.4463,-103.4,-3.5462,17.0,1172.0,1104.0,66.0,2342.0,0.9639,0.0336,435.5,31.8222,46.8,14.7003,13.0,94,11,57.9,108,22,51.6,112,9,49.8,68,3,69.7,153,21,31.2,74,1,67.0,115,16,48.4,157,20,29.4,120,15,46.2,Above average,29.507
Pune,Maharashtra,118558.0,159088.0,277646.0,0.4284,0.5668,0.7873,467.7949,67.6037,29.9057,8.913,9226139.0,605762.0,2.0,2.2491,143,7288.0,57757.0,65045.0,0.109,0.8899,0.1229,1351.0871,112.2488,8.625,0.8773,2.0,4154.0,1743.0,382.0,6279.0,0.9102,0.0836,226.6296,8.3805,11.8519,7.8128,3.0,45,3,80.1,2,2,99.5,19,2,91.9,172,20,22.6,51,4,77.4,148,2,33.5,132,18,40.7,179,23,19.5,144,18,35.3,Top 25%,44.2111
Raigad,Maharashtra,29543.0,43572.0,73115.0,0.3659,0.6249,0.6261,250.3111,141.7041,12.3985,84.7574,9226139.0,171188.0,25.0,2.2657,60,1236.0,13745.0,14981.0,0.0819,0.9172,0.0897,1529.9016,157.891,125.1111,24.2323,15.0,1087.0,368.0,46.0,1501.0,0.9561,0.042,542.75,293.8029,415.5,124.0299,15.0,124,18,44.3,99,21,55.7,95,7,57.5,90,9,59.7,131,15,41.2,175,5,21.3,20,2,91.4,99,15,55.7,13,2,94.6,Below average,48.6784
Sangli,Maharashtra,31974.0,57464.0,89438.0,0.348,0.6456,0.5489,347.9863,74.908,-0.9425,4.0142,9226139.0,223013.0,17.0,2.249,66,218.0,2118.0,2336.0,0.0932,0.9059,0.1028,1168.0,0.0,0.0,0.0,24.0,1358.0,738.0,79.0,2175.0,0.9545,0.0424,321.1944,43.9304,56.5,19.4415,18.0,96,12,57.0,71,18,68.3,193,19,13.1,92,10,58.8,130,14,41.6,187,7,15.8,103,13,53.8,170,22,23.5,104,13,53.4,Above average,41.102
Solapur,Maharashtra,56638.0,96055.0,152693.0,0.3781,0.6182,0.6406,509.9176,77.5621,34.8357,11.348,9226139.0,334507.0,10.0,2.25,70,224.0,2532.0,2756.0,0.0812,0.9181,0.0884,1660.0833,434.7887,-338.5,-16.472,4.0,1376.0,336.0,130.0,1842.0,0.9094,0.084,202.3333,3.2998,4.6667,5.83,9.0,111,14,50.2,15,7,93.7,186,18,16.3,174,21,21.7,50,3,77.8,172,4,22.6,135,19,39.4,165,21,25.8,145,19,34.8,Above average,82.8502
Thane,Maharashtra,78231.0,171982.0,250213.0,0.2813,0.7154,0.4281,791.6956,110.8638,76.9158,9.835,9226139.0,571273.0,4.0,2.2526,78,11983.0,94617.0,106600.0,0.112,0.8876,0.1267,3149.4486,215.2306,127.303,3.3608,1.0,10276.0,6644.0,610.0,17530.0,0.9311,0.0654,421.3793,100.289,134.6061,39.0434,1.0,3,1,99.1,4,3,98.6,7,1,97.3,141,16,36.7,79,8,64.7,207,17,6.8,58,9,74.2,119,18,46.6,57,6,74.7,Top 10%,14.2726
